chr	gene	gene_id	start	end	direction	gene_name
1	gene	ENSG00000223972.4	11869	14362	+	DDX11L1
1	gene	ENSG00000227232.4	14413	29553	-	WASH7P
1	gene	ENSG00000243485.2	29807	31109	+	MIR1302-11
1	gene	ENSG00000237613.2	34554	36081	-	FAM138A
1	gene	ENSG00000268020.2	52473	54936	+	OR4G4P
1	gene	ENSG00000240361.1	62948	63887	+	OR4G11P
1	gene	ENSG00000186092.4	69091	70008	+	OR4F5
1	gene	ENSG00000238009.2	89295	129223	-	RP11-34P13.7
1	gene	ENSG00000233750.3	131025	134836	+	CICP27
1	gene	ENSG00000237683.5	134901	139379	-	AL627309.1
1	gene	ENSG00000268903.1	135803	135895	-	RP11-34P13.15
1	gene	ENSG00000239906.1	139790	140339	-	RP11-34P13.14
1	gene	ENSG00000241860.2	141474	173862	-	RP11-34P13.13
1	gene	ENSG00000222623.1	157784	157887	-	RNU6-1100P
1	gene	ENSG00000241599.1	160446	161525	+	RP11-34P13.9
1	gene	ENSG00000228463.4	227615	267253	-	AP006222.2
1	gene	ENSG00000237094.7	317720	453318	+	RP4-669L17.10
1	gene	ENSG00000250575.1	326515	327551	+	RP4-669L17.8
1	gene	ENSG00000233653.3	329431	332236	-	CICP7
1	gene	ENSG00000224813.2	334126	334128	+	RP4-669L17.4
1	gene	ENSG00000235249.1	367640	368634	+	OR4F29
1	gene	ENSG00000269732.1	379105	379467	-	WBP1LP7
1	gene	ENSG00000256186.1	450820	450886	-	AL732372.1
1	gene	ENSG00000236601.1	453633	460480	-	RP4-669L17.2
1	gene	ENSG00000236743.1	459656	461954	+	RP5-857K21.15
1	gene	ENSG00000236679.2	470971	471355	+	RP4-669L17.1
1	gene	ENSG00000231709.1	521369	523833	-	RP5-857K21.1
1	gene	ENSG00000235146.2	523009	530148	+	RP5-857K21.2
1	gene	ENSG00000239664.2	530463	532878	-	RP5-857K21.3
1	gene	ENSG00000230021.3	536816	659930	-	RP5-857K21.4
1	gene	ENSG00000223659.1	562757	564390	-	RP5-857K21.5
1	gene	ENSG00000225972.1	564442	564813	+	MTND1P23
1	gene	ENSG00000225630.1	565020	566063	+	MTND2P28
1	gene	ENSG00000237973.1	566454	567996	+	hsa-mir-6723
1	gene	ENSG00000229344.1	568137	568818	+	RP5-857K21.7
1	gene	ENSG00000240409.1	568915	569075	+	MTATP8P1
1	gene	ENSG00000248527.1	569122	569755	+	MTATP6P1
1	gene	ENSG00000198744.5	569757	570302	+	RP5-857K21.11
1	gene	ENSG00000268663.1	610222	610645	+	WBP1LP6
1	gene	ENSG00000185097.2	621059	622053	-	OR4F16
1	gene	ENSG00000229376.3	657472	660283	+	CICP3
1	gene	ENSG00000224956.5	661611	663527	-	RP11-206L10.1
1	gene	ENSG00000235373.1	677193	685396	-	RP11-206L10.3
1	gene	ENSG00000223181.1	693613	693716	-	RNU6-1199P
1	gene	ENSG00000240618.1	694412	700236	-	RP11-206L10.5
1	gene	ENSG00000229905.1	696291	697369	+	RP11-206L10.4
1	gene	ENSG00000228327.2	700306	714006	-	RP11-206L10.2
1	gene	ENSG00000237491.4	714150	745440	+	RP11-206L10.9
1	gene	ENSG00000230092.3	736259	745488	-	RP11-206L10.8
1	gene	ENSG00000269831.1	738532	739137	-	AL669831.1
1	gene	ENSG00000240453.1	745542	745550	-	RP11-206L10.10
1	gene	ENSG00000177757.1	752751	755214	+	FAM87B
1	gene	ENSG00000225880.4	761586	762902	-	LINC00115
1	gene	ENSG00000228794.4	762988	794826	+	RP11-206L10.11
1	gene	ENSG00000230368.2	803451	812283	-	FAM41C
1	gene	ENSG00000234711.1	808672	809491	+	TUBB8P11
1	gene	ENSG00000269308.1	818043	819983	+	AL645608.2
1	gene	ENSG00000272438.1	840214	851356	+	RP11-54O7.16
1	gene	ENSG00000230699.2	846815	850182	+	RP11-54O7.1
1	gene	ENSG00000241180.1	850329	850351	+	RP11-54O7.2
1	gene	ENSG00000223764.2	852250	855072	-	RP11-54O7.3
1	gene	ENSG00000187634.6	860260	879583	+	SAMD11
1	gene	ENSG00000268179.1	861264	865996	-	AL645608.1
1	gene	ENSG00000188976.6	879956	894689	-	NOC2L
1	gene	ENSG00000187961.9	895967	901095	+	KLHL17
1	gene	ENSG00000187583.6	901877	910488	+	PLEKHN1
1	gene	ENSG00000187642.5	910579	917497	-	C1orf170
1	gene	ENSG00000272512.1	931346	933431	-	RP11-54O7.17
1	gene	ENSG00000188290.6	934342	935552	-	HES4
1	gene	ENSG00000231702.2	943456	943609	-	RP11-54O7.10
1	gene	ENSG00000224969.1	947377	948573	-	RP11-54O7.11
1	gene	ENSG00000187608.5	948803	949920	+	ISG15
1	gene	ENSG00000188157.9	955503	991277	+	AGRN
1	gene	ENSG00000217801.5	995114	1004735	+	RP11-465B22.3
1	gene	ENSG00000273443.1	997588	998668	-	RP11-54O7.18
1	gene	ENSG00000237330.2	1006346	1009687	-	RNF223
1	gene	ENSG00000131591.13	1017198	1051741	-	C1orf159
1	gene	ENSG00000223823.1	1072397	1079436	+	RP11-465B22.5
1	gene	ENSG00000207730.1	1102484	1102578	+	MIR200B
1	gene	ENSG00000207607.1	1103243	1103332	+	MIR200A
1	gene	ENSG00000198976.1	1104385	1104467	+	MIR429
1	gene	ENSG00000272141.1	1104737	1105723	+	RP11-465B22.8
1	gene	ENSG00000205231.1	1108436	1114935	-	TTLL10-AS1
1	gene	ENSG00000162571.9	1114569	1133315	+	TTLL10
1	gene	ENSG00000186891.9	1138888	1142071	-	TNFRSF18
1	gene	ENSG00000186827.6	1146706	1149512	-	TNFRSF4
1	gene	ENSG00000078808.12	1152288	1167411	-	SDF4
1	gene	ENSG00000176022.3	1167629	1170421	+	B3GALT6
1	gene	ENSG00000184163.3	1177833	1182102	-	FAM132A
1	gene	ENSG00000260179.1	1185157	1186714	-	RP5-902P8.12
1	gene	ENSG00000160087.16	1189289	1209265	-	UBE2J2
1	gene	ENSG00000230415.1	1210603	1215800	+	RP5-902P8.10
1	gene	ENSG00000162572.15	1215816	1227409	+	SCNN1D
1	gene	ENSG00000131584.14	1227756	1243398	-	ACAP3
1	gene	ENSG00000169972.7	1243947	1246976	+	PUSL1
1	gene	ENSG00000127054.14	1247058	1260071	-	CPSF3L
1	gene	ENSG00000240731.1	1252961	1254069	-	RP5-890O3.9
1	gene	ENSG00000224051.2	1260136	1264277	+	GLTPD1
1	gene	ENSG00000169962.4	1266694	1270655	+	TAS1R3
1	gene	ENSG00000107404.13	1270687	1284730	-	DVL1
1	gene	ENSG00000162576.12	1288071	1297157	-	MXRA8
1	gene	ENSG00000175756.9	1309110	1310875	-	AURKAIP1
1	gene	ENSG00000223663.2	1314046	1314412	+	RP5-890O3.3
1	gene	ENSG00000221978.7	1321862	1334708	-	CCNL2
1	gene	ENSG00000224870.3	1334902	1337287	+	RP4-758J18.2
1	gene	ENSG00000242485.1	1337427	1342693	-	MRPL20
1	gene	ENSG00000272455.1	1344476	1345998	+	RP4-758J18.13
1	gene	ENSG00000235098.4	1353800	1357149	-	ANKRD65
1	gene	ENSG00000225905.1	1357849	1358071	+	RP4-758J18.7
1	gene	ENSG00000205116.3	1361508	1363167	+	TMEM88B
1	gene	ENSG00000225285.1	1365919	1369953	-	RP4-758J18.10
1	gene	ENSG00000179403.10	1370241	1378262	+	VWA1
1	gene	ENSG00000215915.5	1385069	1405538	+	ATAD3C
1	gene	ENSG00000160072.15	1407143	1431582	+	ATAD3B
1	gene	ENSG00000197785.9	1447531	1470067	+	ATAD3A
1	gene	ENSG00000205090.4	1470554	1475833	-	TMEM240
1	gene	ENSG00000160075.10	1477053	1510249	-	SSU72
1	gene	ENSG00000215014.3	1510355	1511373	+	AL645728.1
1	gene	ENSG00000236684.1	1515136	1515379	+	AL645728.3
1	gene	ENSG00000228594.1	1533392	1535476	-	C1orf233
1	gene	ENSG00000272106.1	1549138	1551175	-	RP11-345P4.9
1	gene	ENSG00000197530.8	1551259	1565990	+	MIB2
1	gene	ENSG00000189409.8	1567474	1570602	+	MMP23B
1	gene	ENSG00000248333.3	1570640	1590473	-	CDK11B
1	gene	ENSG00000272004.1	1590786	1590913	+	RP11-345P4.10
1	gene	ENSG00000189339.7	1592939	1624167	-	SLC35E2B
1	gene	ENSG00000269737.1	1603429	1604850	+	RP11-345P4.7
1	gene	ENSG00000269227.1	1605440	1605836	+	RP11-345P4.6
1	gene	ENSG00000215914.3	1631369	1633249	+	MMP23A
1	gene	ENSG00000008128.18	1634169	1655766	-	CDK11A
1	gene	ENSG00000227775.3	1655951	1668690	+	RP1-283E3.4
1	gene	ENSG00000215790.2	1656277	1677431	-	SLC35E2
1	gene	ENSG00000008130.11	1682671	1711896	-	NADK
1	gene	ENSG00000078369.13	1716729	1822495	-	GNB1
1	gene	ENSG00000231050.1	1822910	1824097	+	RP1-140A9.1
1	gene	ENSG00000169885.5	1846266	1848733	+	CALML6
1	gene	ENSG00000178821.8	1849029	1850712	-	TMEM52
